sex,age_years,height_pct,height_cm_sbp,height_cm_dbp,height_in_sbp,height_in_dbp,sbp_p50,sbp_p90,sbp_p95,sbp_p95plus12,dbp_p50,dbp_p90,dbp_p95,dbp_p95plus12
male,2,75,94.7,94.7,37.3,37.3,89,103,107,119,45,57,60,72
male,2,90,97.1,97.1,38.2,38.2,90,103,107,119,46,58,61,73
male,2,95,98.5,98.5,38.8,38.8,91,104,108,120,46,58,61,73
male,3,5,92.5,92.5,36.4,36.4,88,101,106,118,45,58,60,72
male,3,10,93.9,93.9,37,37,89,102,106,118,46,58,61,73
male,3,25,96.3,96.3,37.9,37.9,89,102,107,119,46,59,61,73
male,3,50,99,99,39,39,90,103,107,119,47,59,62,74
male,3,75,101.8,101.8,40.1,40.1,91,104,108,120,48,60,63,75
male,3,90,104.3,104.3,41.1,41.1,92,105,109,121,49,61,64,76
male,3,95,105.8,105.8,41.7,41.7,92,105,109,121,49,61,64,76
male,4,5,98.5,98.5,38.8,38.8,90,102,107,119,48,60,63,75
male,4,10,100.2,100.2,39.4,39.4,90,103,107,119,49,61,64,76
male,4,25,102.9,102.9,40.5,40.5,91,104,108,120,49,62,65,77
male,4,50,105.9,105.9,41.7,41.7,92,105,108,120,50,62,66,78
male,4,75,108.9,108.9,42.9,42.9,93,105,109,121,51,63,67,79
male,4,90,111.5,111.5,43.9,43.9,94,106,110,122,52,64,67,79
male,4,95,113.2,113.2,44.5,44.5,94,107,110,122,52,64,68,80
male,5,5,104.4,104.4,41.1,41.1,91,103,107,119,51,63,66,78
male,5,10,106.2,106.2,41.8,41.8,92,104,108,120,51,64,67,79
male,5,25,109.1,109.1,43,43,93,105,109,121,52,65,68,80
male,5,50,112.4,112.4,44.3,44.3,94,106,109,121,53,65,69,81
male,5,75,115.7,115.7,45.5,45.5,95,107,110,122,54,66,70,82
male,5,90,118.6,118.6,46.7,46.7,96,108,111,123,55,67,70,82
male,5,95,120.3,120.3,47.4,47.4,96,108,112,124,55,67,71,83
male,6,5,110.3,110.3,43.4,43.4,93,105,108,120,54,66,69,81
male,6,10,112.2,112.2,44.2,44.2,93,105,109,121,54,66,70,82
male,6,25,115.3,115.3,45.4,45.4,94,106,110,122,55,67,70,82
male,6,50,118.9,118.9,46.8,46.8,95,107,111,123,56,68,71,83
male,6,75,122.4,122.4,48.2,48.2,96,109,112,124,57,68,72,84
male,6,90,125.6,125.6,49.4,49.4,97,110,113,125,57,69,72,84
male,6,95,127.5,127.5,50.2,50.2,98,110,114,126,58,69,73,85
male,7,5,116.1,116.1,45.7,45.7,94,106,110,122,56,68,71,83
male,7,10,118,118,46.5,46.5,94,107,110,122,56,68,71,83
male,7,25,121.4,121.4,47.8,47.8,95,108,111,123,57,69,72,84
male,7,50,125.1,125.1,49.3,49.3,97,109,112,124,58,70,73,85
male,7,75,128.9,128.9,50.8,50.8,98,110,114,126,58,70,73,85
male,7,90,132.4,132.4,52.1,52.1,98,111,115,127,59,71,74,86
male,7,95,134.5,134.5,52.9,52.9,99,111,116,128,59,71,74,86
male,8,5,121.4,121.4,47.8,47.8,95,107,111,123,57,69,72,84
male,8,10,123.5,123.5,48.6,48.6,96,108,112,124,57,70,73,85
male,8,25,127,127,50,50,97,109,112,124,58,70,73,85
male,8,50,131,131,51.6,51.6,98,110,114,126,59,71,74,86
male,8,75,135.1,135.1,53.2,53.2,99,111,115,127,59,72,75,87
male,8,90,138.8,138.8,54.6,54.6,99,112,116,128,60,72,75,87
male,8,95,141,141,55.5,55.5,100,112,117,129,60,73,75,87
male,9,5,126,126,49.6,49.6,96,107,112,124,57,70,74,86
male,9,10,128.3,128.3,50.5,50.5,97,108,112,124,58,71,74,86
male,9,25,132.1,132.1,52,52,98,109,113,125,59,72,75,87
male,9,50,136.3,136.3,53.7,53.7,99,110,115,127,60,73,76,88
male,9,75,140.7,140.7,55.4,55.4,100,112,116,128,61,74,76,88
male,9,90,144.7,144.7,56.9,56.9,101,113,118,130,62,74,77,89
male,9,95,147.1,147.1,57.9,57.9,101,114,119,131,62,74,77,89
male,10,5,130.2,130.2,51.3,51.3,97,108,112,124,59,72,76,88
male,10,10,132.7,132.7,52.2,52.2,98,109,113,125,60,73,76,88
male,10,25,136.7,136.7,53.8,53.8,99,111,114,126,61,74,77,89
male,10,50,141.3,141.3,55.6,55.6,100,112,116,128,62,74,77,89
male,10,75,145.9,145.9,57.4,57.4,101,113,118,130,63,75,78,90
male,10,90,150.1,150.1,59.1,59.1,102,115,120,132,63,75,78,90
male,10,95,152.7,152.7,60.1,60.1,103,116,121,133,64,76,78,90
male,11,5,134.7,134.7,53,53,99,110,114,126,61,74,77,89
male,11,10,137.3,137.3,54,54,99,111,114,126,61,74,78,90
male,11,25,141.5,141.5,55.7,55.7,101,112,116,128,62,75,78,90
male,11,50,146.4,146.4,57.6,57.6,102,114,118,130,63,75,78,90
male,11,75,151.3,151.3,59.6,59.6,103,116,120,132,63,75,78,90
male,11,90,155.8,155.8,61.3,61.3,104,117,123,135,63,76,78,90
male,11,95,158.6,158.6,62.4,62.4,106,118,124,136,63,76,78,90
male,12,5,140.3,140.3,55.2,55.2,101,113,116,128,61,75,78,90
male,12,10,143,143,56.3,56.3,101,114,117,129,62,75,78,90
male,12,25,147.5,147.5,58.1,58.1,102,115,118,130,62,75,78,90
male,12,50,152.7,152.7,60.1,60.1,104,117,121,133,62,75,78,90
male,12,75,157.9,157.9,62.2,62.2,106,119,124,136,62,75,78,90
male,12,90,162.6,162.6,64,64,108,121,126,138,63,76,79,91
male,12,95,165.5,165.5,65.2,65.2,109,122,128,140,63,76,79,91
male,13,5,147,147,57.9,57.9,103,115,119,131,61,74,78,90
male,13,10,150,150,59.1,59.1,104,116,120,132,60,74,78,90
male,13,25,154.9,154.9,61,61,105,118,122,134,61,74,78,90
male,13,50,160.3,160.3,63.1,63.1,108,121,125,137,62,75,78,90
male,13,75,165.7,165.7,65.2,65.2,110,124,128,140,63,76,80,92
male,13,90,170.5,170.5,67.1,67.1,111,126,130,142,64,77,81,93
male,13,95,173.4,173.4,68.3,68.3,112,126,131,143,65,77,81,93
male,14,5,153.8,153.8,60.6,60.6,105,119,123,135,60,74,77,89
male,14,10,156.9,156.9,61.8,61.8,106,120,125,137,60,74,78,90
male,14,25,162,162,63.8,63.8,109,123,127,139,62,75,79,91
male,14,50,167.5,167.5,65.9,65.9,111,126,130,142,64,77,81,93
male,14,75,172.7,172.7,68,68,112,127,132,144,65,78,82,94
male,14,90,177.4,177.4,69.8,69.8,113,128,133,145,66,79,83,95
male,14,95,180.1,180.1,70.9,70.9,113,129,134,146,67,80,84,96
male,15,5,159,159,62.6,62.6,108,123,127,139,61,75,78,90
male,15,10,162,162,63.8,63.8,110,124,129,141,62,76,79,91
male,15,25,166.9,166.9,65.7,65.7,112,126,131,143,64,78,81,93
male,15,50,172.2,172.2,67.8,67.8,113,128,132,144,65,79,83,95
male,15,75,177.2,177.2,69.8,69.8,114,129,134,146,66,80,84,96
male,15,90,181.6,181.6,71.5,71.5,114,130,135,147,67,81,85,97
male,15,95,184.2,184.2,72.5,72.5,114,130,135,147,68,81,85,97
male,16,5,162.1,162.1,63.8,63.8,111,126,130,142,63,77,80,92
male,16,10,165,165,64.9,64.9,112,127,131,143,64,78,81,93
male,16,25,169.6,169.6,66.8,66.8,114,128,133,145,66,79,83,95
male,16,50,174.6,174.6,68.8,68.8,115,129,134,146,67,80,84,96
male,16,75,179.5,179.5,70.7,70.7,115,131,135,147,68,81,85,97
male,16,90,183.8,183.8,72.4,72.4,116,131,136,148,69,82,86,98
male,16,95,186.4,186.4,73.4,73.4,116,132,137,149,69,82,86,98
male,17,5,163.8,163.8,64.5,64.5,114,128,132,144,65,78,81,93
male,17,10,166.5,166.5,65.5,65.5,115,129,133,145,66,79,82,94
male,17,25,170.9,170.9,67.3,67.3,116,130,134,146,67,80,84,96
male,17,50,175.8,175.8,69.2,69.2,117,131,135,147,68,81,85,97
male,17,75,180.7,180.7,71.1,71.1,117,132,137,149,69,82,86,98
male,17,90,184.9,184.9,72.8,72.8,118,133,138,150,70,82,86,98
male,17,95,187.5,187.5,73.8,73.8,118,134,138,150,70,83,87,99
